/  Dreyfus  Dreyfus   Dreyfus Franklin  NE Inv  Putnam
/  Grow Op  3rd Cent   Fund    Growth   Growth   Vista
76    *       3.40     10.48     5.15      *      9.67
77   5.01     3.94     12.93     6.05      *     10.51
78   5.24     4.34     12.00     5.19      *     10.38
79   5.62     5.18     12.35     6.90      *     11.88
80   7.30     5.70     14.11     6.87      *     14.79
81  10.78     7.30     16.79     7.36    10.16   19.13
82  12.39     8.93     14.94     6.78     9.67   17.01
83   9.00     6.33     15.07     8.00    10.54   19.56
84  10.59     7.86     15.40    11.68    11.36   20.19
85  11.24     6.42     12.45    11.03    11.36   13.86
86   9.89     7.50     13.87    14.40    15.34   17.69

