{                                                                                                                                                       
         INTEREST RATE DATA                                     MONEY EXCHANGE     CONSUMER USAGE                                                       
}                                                                                                                                                       
 Date    FedRt Prime  AA_rt  30_yr  TaxExmp MnyMkt Mort  Chase  Brit Japn  W.Grm   Wheat   Oil$   OilPrd OilImp  Steel  Autos  Elec  Coal  PapBd  Lumber 
{        FUNDS RATE   BONDS  BONDS  EXEMPT  MARKT  RATE  MANHT  LB   YEN   MARK            PRICE  PROD   IMPORT                            BOARD         
                                                                                                                                                         
                                                                                                                                                        
L        T     T      T      T      T       T      T     T      T    T     T       T       T      T      T       T      T      T     T     T      T      
}
860802   6.32  8.00   9.25   7.93   7.      7.     9.    13     .6   150   1.8     2.62    11.55  8660   6492    1461   166128 57324 16926 659.1  3405   
860906   5.83  7.50   9.05   7.43   7.      7.     9.    13     .6   150   1.8     2.59    16.3   8374   6892    1298   126973 49898 17605 714    3127   
861004   6.08  7.5    9.00   7.63   7.      7.     9.    13     .6   150   1.8     3.05    14.8   8328   7571    1304   146900 50370 17702 665    3127   
861101   5.86  7.5    9.00   7.61   7.      7.     9.    13     .6   150   1.8     2.69    15.3   8419   6773    1369   171628 44409 17941 681    3557   
861206   6.25  7.50   8.88   7.27   7.      7.     9.    13     .6   150   1.8     2.81    15.1   8412   5233    1361   156110 46000 14445 702    3441   
870103   9.55  9.50   10.15  9.28   7.      7.     9.    13     .6   150   1.8     3.40    26.6   8945   6605    1441   65325  49369 15000 702    3196   
870131   6.13  7.50   8.50   7.45   7.      7.     9.    13     .6   150   1.8     2.82    18.7   8447   7438    1343   168756 53867 15000 702    3397   
870301   6.3   7.6    9.0    8.0    7.      7.     9.    13     .6   150   1.8     2.9     18.8   8420   6700    1500   166000 49000 15000 702    3500
870327   6.14  7.5    8.6    7.6    7.      7.     9.    13     .6   150   1.8     2.99    16.82  8343   5767    1675   167536 47474 17327 718    3623   
870501   6.5   7.7    9.0    8.51   7.      7.     9.    13     .6   150   1.8     3.04    18.96  8396   5864    1721   165324 45536 16344 702.2  3307   
870529   6.80  8.00   9.50   8.71   7.      7.     9.    13     .6   150   1.8     2.86    19.4   8332   5256    1693   137619 49857 17409 721    3761   
870626   6.79  8.00   9.60   8.43   7.      7.     9.    13     .6   150   1.8     2.67    20.2   8279   7689    1640   153652 52569 17854 719    3761
870802   6.63  8.25   9.9    8.83   7.73    6.13   10.5  14.5   .628 150   1.86    2.57    21.4   8288   7243    1753   137688 60564 17198 706.0  3518   
870906   6.85  8.75   10.5   9.43   8.05    6.21   10.28 14.5   .605 142   1.80    2.77    19.3   8181   6890    1688   131519 54284 19165 718    3905   
871004   7.56  8.75   10.7   9.78   8.53    6.55   10.28 14.5   0.62 147   1.84    2.83    19.9   8148   7883    1787   142000 47776 19114 706    3662   
871101   7.03  9.0    10.4   9.02   8.43    6.75   9.67  14.5   0.58 138   1.73    2.93    20.0   8233   6336    1858   159791 46330 19184 704    3643   
871206   6.89  8.75   10.25  9.04   7.90    6.63   9.67  14.5   0.56 132   1.67    3.14    18.7   8257   7137    1869   151511 46977 15853 732    3590   
880103   6.71  8.75   10.13  9.16   7.86    6.92   9.82  14.50  0.53 121   1.57    3.19    16.7   8251   5852    1867   132000 48200 12983 718    3700   
880131   6.66  8.75   9.50   8.50   7.51    6.59   11.07 14.50  0.57 128   1.68    3.24    16.9   8233   6418    1866   126188 49500 15000 711    3871   
880301   6.58  8.65   9.65   8.6    7.7     6.4    11.03 14.2   0.56 126   1.67    3.2     17     8180   6700    1967   132000 51000 17000 725    3700
880327   6.51  8.5    9.8    8.7    7.9     6.2    11.0  13.9   .544 125   1.67    3.17    17.03  8142   6909    1967   145865 51926 18555 734    3509   
880501   6.85  8.5    10.2   9.13   7.77    6.33   10.3  13.9   .533 125   1.68    3.11    17.99  8200   7624    1970   160048 47678 17664 720.4  4034   
880529   7.14  9.00   10.38  9.38   7.96    6.48   8.93  13.90  0.54 125   1.72    3.35    17.4   8074   8345    2009   171705 50076 17337 720    4311   
880626   7.54  9.00   10.00  8.99   7.83    6.75   9.7   13.9   .579 130   1.82    3.92    16.23  8236   6966    1848   161760 56520 17836 745.2  4311
880731   9.50  9.5    10.25  9.29   7.76    7.15   10.34 13.9   .585 133   1.88    3.68    16.33  8204   7375    1905   880550 62180 19000 735.4  4221
880828   8.02  10.0   10.38  9.49   7.8     7.48   10.5  13.9   .592 134   1.86    3.82    15.34  8163   6352    1838   123747 64582 20278 740.8  4109
881002   8.24  10.0   9.9    8.98   7.64    7.71   10.43 16.9   .591 134   1.87    4.06    13.35  8158   6700    1957   148876 53072 19778 726    3647
881106   8.36  10.0   10.0   8.77   7.33    7.84   10.59 16.9   .566 125   1.79    4.18    14.04  8.043  7382    1877   165505 49095 19502 708.6  3982
881204   8.44  10.5   10.25  9.17   7.66    8.06   10.59 16.9   .536 121   1.72    4.12    15.64  8032   7004    1832   163622 49001 17252 713    3982
890101   8.9   10.5   10.1   9.0    7.5     8.52   10.59 16.9   .534 125   1.79    4.35    16     7964   7321    1890   161000 51500 16700 728    3982
890129   9.1   10.5   9.95   8.77   7.27    8.73   10.59 16.9   .568 129   1.86    4.45    17.94  7913   7978    1969   158083 53000 16225 735    4010
890305   9.81  11.5   10.4   9.13   7.56    9.03   10.78 17.4   .582 128   1.84    4.56    18.5   7957   7338    1972   149660 55761 19398 747.7  3694
         

