

{
       MUTUAL FUNDS - FIDELITY GP  }
 Date  Bioth Chem  Cmput Defns Elect Enrgy Helth Paper Softw Telcm Utily 
{
L      T     T     T     T     T     T     T     T     T     T     T     R
}
870802 13.7  22.7  16.5  16.10 10.66 15.41 45.06 15.8  16.77 17.4  26.4  
870906 14.11 22.77 17.08 15.57 10.95 15.00 45.59 16.14 17.43 17.88 26.59 
871004 14.43 24.41 18.31 15.68 12.04 15.13 46.15 16.94 18.72 18.74 27.37 
871101  9.77 16.65 11.54 11.63  7.57 11.03 33.53 11.56 13.39 15.32 25.42 
871206  8.53 15.50 9.45  10.54 6.06  10.29 28.85 10.70 11.47 14.07 24.19 
880103  9.70 17.94 11.1  10.88 7.32  11.01 31.62 11.39 13.15 14.78 23.49 
880131  10.2 17.50 10.51 11.58 6.90  11.42 33.97 10.93 12.77 15.47 25.52 
880301 10.3  19    10.7  11.9  7.3   11.8  33.3  11.3  13.3  15.8  25
880327 10.67 20.03 11.11 12.21 7.45  12.34 34.62 11.59 13.89 15.96 24.64 
880501 10.3  20.7  11.86 12.17 7.86  13.15 33.59 11.7  14.35 16.52 24.7  
880529  9.89 19.52 11.2  11.73 7.42  12.50 32.77 11.32 13.76 16.31 24.88 
880626 10.46 22.14 12.43 12.23 8.34  13.04 34.3  12.56 14.79 17.5  26.17
880731 10.4  21.84 11.65 11.94 7.82  12.89 34.33 12.21 14.32 17.35 25.30
880828 10.07 20.51 10.67 11.49 7.02  12.28 33.05 11.44 13.35 16.61 25.00 
881002 10.36 21.15 10.82 12.00 7.15  12.26 34.52 11.84 14.19 17.74 26.14
881104 9.93  21.28 9.89  11.89 6.61  12.29 34.39 11.43 13.24 18.13 26.68

