# EXPLOD DATA FILE
200  # number of points
 40  # number of frames
  9  # gravity
  0  # wind
  5  # trail length
0 0  -69 6
0 0  72 -55
0 0  -81 -27
0 0  96 56
0 0  116 -70
0 0  45 -38
0 0  7 -20
0 0  -40 -29
0 0  -108 65
0 0  -31 -8
0 0  100 51
0 0  164 -95
0 0  -66 51
0 0  -165 91
0 0  -9 -19
0 0  -52 -24
0 0  8 39
0 0  98 -52
0 0  -73 -40
0 0  54 -21
0 0  63 46
0 0  -132 72
0 0  90 -59
0 0  109 -57
0 0  -38 -14
0 0  55 20
0 0  -8 5
0 0  100 42
0 0  -20 40
0 0  28 27
0 0  101 -63
0 0  -72 -44
0 0  66 -42
0 0  23 -17
0 0  -70 -12
0 0  23 -3
0 0  38 -17
0 0  -168 95
0 0  52 -30
0 0  19 -29
0 0  23 -5
0 0  120 68
0 0  55 38
0 0  113 -62
0 0  -28 -30
0 0  122 -73
0 0  -8 -24
0 0  1 0
0 0  -54 5
0 0  20 -32
0 0  -84 34
0 0  139 78
0 0  43 4
0 0  -46 45
0 0  -101 59
0 0  -30 -28
0 0  -107 -64
0 0  -153 -77
0 0  -123 57
0 0  35 -20
0 0  -98 -64
0 0  41 -34
0 0  160 83
0 0  146 73
0 0  -127 -66
0 0  84 -53
0 0  37 -1
0 0  -41 -5
0 0  61 41
0 0  -85 -33
0 0  79 -33
0 0  9 -2
0 0  51 16
0 0  7 -29
0 0  -117 -69
0 0  12 15
0 0  -67 -32
0 0  -93 -60
0 0  79 -56
0 0  98 66
0 0  5 -31
0 0  -87 -30
0 0  -17 -25
0 0  36 29
0 0  122 68
0 0  -124 -58
0 0  44 -14
0 0  -43 44
0 0  138 -80
0 0  57 9
0 0  45 23
0 0  27 28
0 0  164 85
0 0  -24 17
0 0  34 -23
0 0  60 43
0 0  -163 -95
0 0  -125 70
0 0  132 68
0 0  84 52
0 0  -73 17
0 0  6 -40
0 0  21 -24
0 0  100 49
0 0  -12 -11
0 0  -1 -35
0 0  -112 -65
0 0  115 67
0 0  -28 30
0 0  -38 24
0 0  140 67
0 0  109 69
0 0  -45 -7
0 0  -17 38
0 0  -113 59
0 0  77 21
0 0  -19 -36
0 0  72 31
0 0  -140 -68
0 0  -2 11
0 0  -87 34
0 0  115 -52
0 0  -17 -34
0 0  -63 50
0 0  87 53
0 0  -86 -25
0 0  -174 -97
0 0  44 -42
0 0  39 -36
0 0  55 19
0 0  -78 42
0 0  -29 30
0 0  -95 -35
0 0  -81 -50
0 0  -48 21
0 0  13 35
0 0  -19 28
0 0  -44 34
0 0  -21 11
0 0  84 54
0 0  -114 51
0 0  -98 60
0 0  164 84
0 0  -85 25
0 0  74 -48
0 0  109 46
0 0  -137 69
0 0  34 -36
0 0  -37 25
0 0  -44 -31
0 0  69 6
0 0  50 24
0 0  -46 -16
0 0  125 -60
0 0  116 67
0 0  -81 -48
0 0  -86 -30
0 0  145 -75
0 0  73 -5
0 0  165 -89
0 0  14 0
0 0  -48 -42
0 0  -94 35
0 0  -29 -6
0 0  -118 67
0 0  33 34
0 0  -31 39
0 0  75 -56
0 0  -109 68
0 0  57 -19
0 0  78 -55
0 0  12 -4
0 0  20 -13
0 0  77 -22
0 0  29 -20
0 0  -154 -87
0 0  -35 36
0 0  -46 36
0 0  -12 34
0 0  74 14
0 0  29 23
0 0  148 -74
0 0  72 -5
0 0  39 41
0 0  40 -1
0 0  -66 -12
0 0  61 -5
0 0  0 13
0 0  -142 -71
0 0  31 42
0 0  -47 9
0 0  -24 41
0 0  -44 -38
0 0  -108 53
0 0  12 -8
0 0  -173 -98
0 0  -123 -68
0 0  -155 78
0 0  101 -51
0 0  -11 -13
