# EXPLOD DATA FILE
150  # number of points
 50  # number of frames
  9  # gravity
  0  # wind
  1  # trail length
0 0  2 -78
0 0  -39 8
0 0  40 -66
0 0  -2 -91
0 0  -84 -27
0 0  -45 -32
0 0  96 8
0 0  53 35
0 0  53 67
0 0  64 -84
0 0  25 -45
0 0  -31 100
0 0  3 -24
0 0  21 68
0 0  73 41
0 0  51 19
0 0  -23 -35
0 0  -60 78
0 0  -17 -9
0 0  47 -22
0 0  56 61
0 0  -37 61
0 0  -52 21
0 0  -37 -106
0 0  -12 99
0 0  14 -92
0 0  13 -60
0 0  -1 -64
0 0  -5 -23
0 0  74 -18
0 0  -29 -29
0 0  4 47
0 0  -81 -24
0 0  54 -62
0 0  -32 -65
0 0  -41 -47
0 0  30 -25
0 0  35 55
0 0  55 -17
0 0  34 74
0 0  -69 -53
0 0  50 -71
0 0  -73 -50
0 0  60 -68
0 0  12 51
0 0  -50 -17
0 0  51 86
0 0  -21 -17
0 0  -75 -11
0 0  30 25
0 0  -52 -11
0 0  -5 -84
0 0  22 117
0 0  -5 71
0 0  48 -29
0 0  -5 6
0 0  -81 22
0 0  -31 -86
0 0  55 50
0 0  -11 49
0 0  10 57
0 0  15 33
0 0  56 -75
0 0  -40 -53
0 0  36 -50
0 0  13 -20
0 0  -39 -14
0 0  13 -3
0 0  21 -21
0 0  -74 -59
0 0  -78 -30
0 0  29 -36
0 0  10 -34
0 0  13 -6
0 0  -68 27
0 0  -66 13
0 0  -42 89
0 0  67 82
0 0  79 22
0 0  8 -80
0 0  30 45
0 0  -48 -95
0 0  62 -75
0 0  -16 -36
0 0  67 -88
0 0  -48 -78
0 0  -5 -29
0 0  0 0
0 0  -30 6
0 0  -76 4
0 0  21 55
0 0  11 -38
0 0  60 21
0 0  -47 40
0 0  10 69
0 0  81 34
0 0  -67 -48
0 0  -67 -52
0 0  68 8
0 0  24 4
0 0  9 -84
0 0  -95 -30
0 0  23 -116
0 0  25 99
0 0  -26 55
0 0  -21 115
0 0  19 -94
0 0  -56 71
0 0  74 57
0 0  -17 -34
0 0  -60 -77
0 0  -69 69
0 0  19 -24
0 0  -55 -77
0 0  22 -41
0 0  21 111
0 0  -25 -76
0 0  -40 -107
0 0  25 109
0 0  26 -111
0 0  -30 -85
0 0  -79 -73
0 0  -71 -79
0 0  -87 36
0 0  47 -96
0 0  -95 35
0 0  -79 -18
0 0  77 61
0 0  1 -81
0 0  52 91
0 0  -1 90
0 0  46 -64
0 0  -90 25
0 0  75 0
0 0  20 -1
0 0  17 94
0 0  -79 4
0 0  15 -118
0 0  -23 -6
0 0  -62 1
0 0  55 -35
0 0  39 99
0 0  34 49
0 0  -15 -115
0 0  0 -74
0 0  28 -90
0 0  -48 -40
0 0  74 32
0 0  -52 32
0 0  70 -64
