# EXPLOD DATA FILE
300  # number of points
 50  # number of frames
  9  # gravity
  0  # wind
  5  # trail length
0 0  5 -78
0 0  -77 8
0 0  -3 -91
0 0  193 8
0 0  50 -45
0 0  7 -24
0 0  103 19
0 0  -45 -35
0 0  -34 -9
0 0  94 -22
0 0  -103 21
0 0  -24 99
0 0  27 -60
0 0  -2 -64
0 0  -10 -23
0 0  -57 -29
0 0  8 47
0 0  60 -25
0 0  111 -17
0 0  25 51
0 0  -100 -17
0 0  -42 -17
0 0  -150 -11
0 0  61 25
0 0  -104 -11
0 0  -10 -84
0 0  -10 71
0 0  -9 6
0 0  -22 49
0 0  20 57
0 0  31 33
0 0  26 -20
0 0  -78 -14
0 0  26 -3
0 0  42 -21
0 0  58 -36
0 0  21 -34
0 0  26 -6
0 0  -132 13
0 0  16 -80
0 0  -31 -36
0 0  -9 -29
0 0  -60 6
0 0  -152 4
0 0  42 55
0 0  22 -38
0 0  20 69
0 0  136 8
0 0  48 4
0 0  18 -84
0 0  -33 -34
0 0  39 -24
0 0  45 -41
0 0  3 -81
0 0  -1 90
0 0  41 -1
0 0  -157 4
0 0  -46 -6
0 0  -123 1
0 0  1 -74
0 0  -180 -4
0 0  11 -2
0 0  -119 -16
0 0  131 2
0 0  57 19
0 0  181 -10
0 0  8 -34
0 0  13 18
0 0  -137 -16
0 0  -123 -19
0 0  5 -37
0 0  14 88
0 0  -19 -30
0 0  -15 78
0 0  40 35
0 0  49 -16
0 0  4 70
0 0  64 11
0 0  91 -12
0 0  50 28
0 0  -24 -67
0 0  -102 -1
0 0  30 33
0 0  -26 20
0 0  37 -27
0 0  -13 -75
0 0  -150 -8
0 0  20 116
0 0  102 5
0 0  5 -91
0 0  11 88
0 0  -81 21
0 0  7 -48
0 0  23 -29
0 0  -13 -13
0 0  -1 -42
0 0  -101 -13
0 0  -31 37
0 0  -43 29
0 0  -31 63
0 0  21 54
0 0  -50 -8
0 0  -19 46
0 0  12 98
0 0  85 26
0 0  -21 -43
0 0  -11 -102
0 0  -2 13
0 0  173 13
0 0  147 9
0 0  -19 -41
0 0  151 5
0 0  -1 -67
0 0  125 4
0 0  7 90
0 0  43 -43
0 0  62 23
0 0  -32 36
0 0  151 -6
0 0  -14 -104
0 0  -54 25
0 0  15 42
0 0  -21 34
0 0  -49 41
0 0  4 67
0 0  -23 14
0 0  173 13
0 0  99 14
0 0  38 60
0 0  38 -43
0 0  -41 30
0 0  -49 -37
0 0  -141 8
0 0  104 -17
0 0  77 7
0 0  55 29
0 0  -51 -20
0 0  27 71
0 0  107 10
0 0  81 -6
0 0  16 91
0 0  117 17
0 0  -30 -58
0 0  104 4
0 0  -32 -7
0 0  37 41
0 0  -35 47
0 0  -37 58
0 0  63 -23
0 0  13 -5
0 0  22 -15
0 0  85 -26
0 0  33 -24
0 0  -39 44
0 0  -51 44
0 0  -13 41
0 0  83 17
0 0  33 28
0 0  80 -5
0 0  -15 96
0 0  44 49
0 0  44 -1
0 0  -74 -14
0 0  68 -6
0 0  -118 2
0 0  -134 11
0 0  1 16
0 0  -119 -9
0 0  103 21
0 0  34 51
0 0  117 20
0 0  -53 11
0 0  155 -4
0 0  -26 49
0 0  -49 -46
0 0  -20 -61
0 0  -96 -10
0 0  14 -9
0 0  -3 -94
0 0  -183 8
0 0  150 15
0 0  -113 10
0 0  -12 -16
0 0  105 10
0 0  24 26
0 0  -43 29
0 0  35 5
0 0  -150 12
0 0  -97 24
0 0  150 9
0 0  -39 27
0 0  18 -83
0 0  9 -24
0 0  92 -24
0 0  -16 16
0 0  -161 11
0 0  62 24
0 0  -31 55
0 0  199 -9
0 0  17 -3
0 0  23 -89
0 0  31 38
0 0  173 3
0 0  58 -20
0 0  -58 15
0 0  -15 -115
0 0  -139 16
0 0  -36 52
0 0  -189 -11
0 0  13 -74
0 0  -41 -36
0 0  114 9
0 0  -38 -54
0 0  5 -53
0 0  38 -49
0 0  -35 26
0 0  33 -57
0 0  -85 -8
0 0  -172 -13
0 0  -15 55
0 0  28 -12
0 0  49 -34
0 0  -83 12
0 0  -17 -35
0 0  -29 29
0 0  -3 -71
0 0  -36 -30
0 0  -20 -78
0 0  2 16
0 0  -160 -9
0 0  51 -14
0 0  29 57
0 0  1 40
0 0  -39 -37
0 0  10 -61
0 0  7 17
0 0  42 9
0 0  28 31
0 0  -147 1
0 0  109 17
0 0  25 41
0 0  53 -15
0 0  -43 -48
0 0  -32 -45
0 0  -2 77
0 0  -68 -20
0 0  24 23
0 0  -42 -4
0 0  -2 -97
0 0  13 -15
0 0  -13 -3
0 0  -14 102
0 0  73 22
0 0  -132 -7
0 0  -45 -14
0 0  -94 -18
0 0  2 108
0 0  60 -28
0 0  21 104
0 0  89 -21
0 0  -42 -41
0 0  -9 -84
0 0  -18 -80
0 0  -153 4
0 0  -56 -27
0 0  15 72
0 0  29 41
0 0  -55 42
0 0  22 80
0 0  -29 -68
0 0  -12 -120
0 0  -29 47
0 0  6 100
0 0  -9 -11
0 0  22 65
0 0  160 12
0 0  9 41
0 0  27 -87
0 0  29 50
0 0  102 13
0 0  30 24
0 0  6 -108
0 0  -29 3
0 0  52 -2
0 0  -4 72
0 0  -41 33
0 0  -61 -3
0 0  7 46
0 0  108 -18
0 0  -30 74
0 0  168 4
0 0  -5 46
0 0  110 -4
0 0  -3 72
0 0  -103 8
0 0  4 -48
0 0  -179 -7
0 0  1 -33
0 0  150 2
0 0  -157 -2
