# EXPLOD DATA FILE
200  # number of points
 50  # number of frames
  9  # gravity
  0  # wind
  5  # trail length
0 0  5 -78
0 0  -77 8
0 0  80 -66
0 0  -3 -91
0 0  -167 -27
0 0  -90 -32
0 0  193 8
0 0  106 35
0 0  106 67
0 0  129 -84
0 0  50 -45
0 0  -62 100
0 0  7 -24
0 0  42 68
0 0  146 41
0 0  103 19
0 0  -45 -35
0 0  -120 78
0 0  -34 -9
0 0  94 -22
0 0  112 61
0 0  -73 61
0 0  -103 21
0 0  -73 -106
0 0  -24 99
0 0  28 -92
0 0  27 -60
0 0  -2 -64
0 0  -10 -23
0 0  149 -18
0 0  -57 -29
0 0  8 47
0 0  -162 -24
0 0  109 -62
0 0  -63 -65
0 0  -81 -47
0 0  60 -25
0 0  70 55
0 0  111 -17
0 0  69 74
0 0  -137 -53
0 0  100 -71
0 0  -145 -50
0 0  121 -68
0 0  25 51
0 0  -100 -17
0 0  102 86
0 0  -42 -17
0 0  -150 -11
0 0  61 25
0 0  -104 -11
0 0  -10 -84
0 0  -10 71
0 0  97 -29
0 0  -9 6
0 0  -161 22
0 0  -62 -86
0 0  111 50
0 0  -22 49
0 0  20 57
0 0  31 33
0 0  112 -75
0 0  -80 -53
0 0  73 -50
0 0  26 -20
0 0  -78 -14
0 0  26 -3
0 0  42 -21
0 0  -148 -59
0 0  -155 -30
0 0  58 -36
0 0  21 -34
0 0  26 -6
0 0  -135 27
0 0  -132 13
0 0  -84 89
0 0  134 82
0 0  158 22
0 0  16 -80
0 0  61 45
0 0  -95 -95
0 0  125 -75
0 0  -31 -36
0 0  135 -88
0 0  -95 -78
0 0  -9 -29
0 0  1 0
0 0  -60 6
0 0  -152 4
0 0  42 55
0 0  22 -38
0 0  120 21
0 0  -94 40
0 0  20 69
0 0  162 34
0 0  -134 -48
0 0  -134 -52
0 0  136 8
0 0  48 4
0 0  18 -84
0 0  -190 -30
0 0  46 -116
0 0  50 99
0 0  -51 55
0 0  -42 115
0 0  38 -94
0 0  -112 71
0 0  148 57
0 0  -33 -34
0 0  -119 -77
0 0  -137 69
0 0  39 -24
0 0  -109 -77
0 0  45 -41
0 0  42 111
0 0  -49 -76
0 0  -80 -107
0 0  50 109
0 0  52 -111
0 0  -60 -85
0 0  -158 -73
0 0  -141 -79
0 0  -173 36
0 0  94 -96
0 0  -189 35
0 0  -157 -18
0 0  154 61
0 0  3 -81
0 0  105 91
0 0  -1 90
0 0  93 -64
0 0  -180 25
0 0  150 0
0 0  41 -1
0 0  35 94
0 0  -157 4
0 0  31 -118
0 0  -46 -6
0 0  -123 1
0 0  110 -35
0 0  79 99
0 0  68 49
0 0  -30 -115
0 0  1 -74
0 0  57 -90
0 0  -95 -40
0 0  149 32
0 0  -103 32
0 0  140 -64
0 0  88 -39
0 0  -180 -4
0 0  158 -62
0 0  11 -2
0 0  142 -37
0 0  -151 -69
0 0  -154 -33
0 0  -119 -16
0 0  131 2
0 0  127 -22
0 0  148 51
0 0  57 19
0 0  181 -10
0 0  8 -34
0 0  191 -17
0 0  -130 -82
0 0  13 18
0 0  -75 -38
0 0  -137 -16
0 0  -103 -72
0 0  88 -68
0 0  -123 -19
0 0  109 79
0 0  5 -37
0 0  -168 49
0 0  -96 -36
0 0  14 88
0 0  -79 -101
0 0  -19 -30
0 0  -15 78
0 0  -121 32
0 0  -149 -64
0 0  40 35
0 0  135 82
0 0  -138 -69
0 0  49 -16
0 0  27 -99
0 0  -48 53
0 0  4 70
0 0  64 11
0 0  91 -12
0 0  136 65
0 0  -46 79
0 0  50 28
0 0  -24 -67
0 0  -102 -1
0 0  49 -103
0 0  87 84
0 0  189 38
0 0  182 -36
0 0  30 33
