# EXPLOD DATA FILE
300  # number of points     Generated with "expgen -sr -p300 -x250 -y150 -t1"
 50  # number of frames
  9  # gravity
  0  # wind
  1  # trail length
0 0  6 -98
0 0  -96 10
0 0  101 -83
0 0  -3 -113
0 0  -209 -34
0 0  -112 -40
0 0  241 10
0 0  132 43
0 0  133 84
0 0  161 -105
0 0  62 -56
0 0  -77 125
0 0  9 -30
0 0  53 85
0 0  183 52
0 0  129 24
0 0  -56 -44
0 0  -150 98
0 0  -43 -11
0 0  118 -28
0 0  140 77
0 0  228 -142
0 0  -91 77
0 0  -129 26
0 0  -229 136
0 0  -91 -133
0 0  -30 124
0 0  36 -115
0 0  34 -75
0 0  -3 -79
0 0  -12 -29
0 0  186 -22
0 0  -71 -36
0 0  11 58
0 0  -202 -30
0 0  136 -77
0 0  -79 -82
0 0  -102 -59
0 0  75 -31
0 0  88 69
0 0  139 -21
0 0  87 92
0 0  -171 -67
0 0  125 -88
0 0  -181 -62
0 0  151 -85
0 0  31 64
0 0  -125 -21
0 0  127 108
0 0  197 143
0 0  -53 -21
0 0  -187 -13
0 0  76 31
0 0  -130 -14
0 0  -12 -105
0 0  57 146
0 0  -12 89
0 0  122 -36
0 0  -11 8
0 0  -201 28
0 0  -77 -107
0 0  139 63
0 0  -27 61
0 0  25 72
0 0  39 41
0 0  140 -94
0 0  -99 -66
0 0  92 -63
0 0  32 -25
0 0  -97 -17
0 0  32 -4
0 0  53 -26
0 0  -185 -74
0 0  -233 143
0 0  -193 -37
0 0  73 -45
0 0  26 -43
0 0  32 -8
0 0  -169 34
0 0  -164 16
0 0  -104 111
0 0  167 103
0 0  197 28
0 0  20 -100
0 0  77 57
0 0  -119 -118
0 0  157 -93
0 0  -39 -45
0 0  169 -109
0 0  -119 -97
0 0  -11 -36
0 0  2 0
0 0  -75 7
0 0  -190 5
0 0  53 69
0 0  28 -47
0 0  150 27
0 0  -117 51
0 0  26 86
0 0  203 43
0 0  -168 -60
0 0  -167 -65
0 0  170 10
0 0  60 6
0 0  23 -104
0 0  -238 -37
0 0  58 -144
0 0  63 124
0 0  -63 68
0 0  -53 144
0 0  48 -117
0 0  -140 89
0 0  185 71
0 0  -41 -42
0 0  -149 -96
0 0  -171 86
0 0  49 -30
0 0  -136 -96
0 0  57 -51
0 0  52 139
0 0  -61 -95
0 0  -100 -134
0 0  62 136
0 0  65 -139
0 0  -75 -107
0 0  -197 -91
0 0  -209 -142
0 0  -176 -99
0 0  -216 45
0 0  118 -120
0 0  -237 43
0 0  -196 -22
0 0  192 77
0 0  4 -101
0 0  131 114
0 0  -1 112
0 0  117 -80
0 0  -225 31
0 0  187 1
0 0  52 -2
0 0  44 118
0 0  -196 6
0 0  39 -148
0 0  -57 -7
0 0  -154 2
0 0  137 -44
0 0  98 123
0 0  85 61
0 0  -37 -144
0 0  1 -92
0 0  72 -112
0 0  -118 -50
0 0  187 40
0 0  -129 40
0 0  175 -79
0 0  110 -49
0 0  -225 -5
0 0  198 -78
0 0  13 -2
0 0  177 -47
0 0  -189 -86
0 0  -193 -42
0 0  -149 -20
0 0  164 2
0 0  159 -27
0 0  185 63
0 0  71 24
0 0  226 -12
0 0  10 -43
0 0  239 -21
0 0  -163 -103
0 0  16 23
0 0  -93 -48
0 0  -172 -20
0 0  -129 -90
0 0  110 -84
0 0  -153 -24
0 0  137 99
0 0  7 -47
0 0  -209 61
0 0  -120 -45
0 0  18 110
0 0  -98 -127
0 0  -23 -38
0 0  -18 98
0 0  -239 121
0 0  -152 40
0 0  -186 -80
0 0  50 44
0 0  169 102
0 0  -172 -86
0 0  62 -20
0 0  34 -124
0 0  -60 67
0 0  5 88
0 0  80 14
0 0  114 -15
0 0  170 82
0 0  -58 99
0 0  63 35
0 0  -30 -83
0 0  -128 -2
0 0  61 -129
0 0  109 105
0 0  236 47
0 0  228 -45
0 0  38 42
0 0  228 128
0 0  -33 26
0 0  175 -28
0 0  -104 103
0 0  74 119
0 0  47 -34
0 0  -16 -94
0 0  -187 -10
0 0  84 65
0 0  -62 -125
0 0  -226 -142
0 0  26 145
0 0  -80 103
0 0  -185 -36
0 0  144 -122
0 0  128 6
0 0  -173 105
0 0  226 -38
0 0  7 -114
0 0  75 143
0 0  233 1
0 0  -179 -61
0 0  14 110
0 0  117 78
0 0  -101 26
0 0  -207 -33
0 0  -190 29
0 0  8 -60
0 0  204 52
0 0  144 -41
0 0  29 -36
0 0  138 74
0 0  64 -76
0 0  -16 -16
0 0  -2 -53
0 0  -126 -16
0 0  -55 124
0 0  190 0
0 0  -155 -97
0 0  126 107
0 0  160 101
0 0  213 -44
0 0  224 -49
0 0  93 106
0 0  -38 46
0 0  -53 37
0 0  -39 79
0 0  -225 20
0 0  29 140
0 0  129 111
0 0  152 104
0 0  -70 -117
0 0  -161 -68
0 0  27 67
0 0  -62 -10
0 0  -23 58
0 0  99 -133
0 0  -157 89
0 0  -97 95
0 0  15 122
0 0  120 -129
0 0  107 32
0 0  -26 -53
0 0  65 119
0 0  -13 -127
0 0  101 47
0 0  -2 17
0 0  -121 51
0 0  216 17
0 0  216 57
0 0  226 34
0 0  160 -78
0 0  184 11
0 0  -23 -51
0 0  -84 -140
0 0  -87 75
0 0  -197 -69
0 0  166 77
0 0  -60 83
0 0  120 80
0 0  188 6
0 0  -120 -38
0 0  -1 -83
0 0  -242 -145
0 0  156 6
0 0  62 -63
0 0  9 112
0 0  54 -54
0 0  77 29
0 0  -108 64
0 0  216 53
0 0  172 63
0 0  56 94
