# EXPLOD DATA FILE
150  # number of points
 25  # number of frames
  0  # gravity
-80  # wind
  4  # trail length
100 40  67 16
100 40  -145 -4
100 40  -79 -17
100 40  -80 -33
100 40  -37 23
100 40  -5 12
100 40  -32 -34
100 40  -129 -44
100 40  -109 -20
100 40  -77 -9
100 40  34 18
100 40  26 5
100 40  -71 11
100 40  -84 -30
100 40  -20 30
100 40  2 32
100 40  7 12
100 40  -111 9
100 40  43 15
100 40  -6 -23
100 40  48 33
100 40  61 24
100 40  -45 13
100 40  -52 -27
100 40  -101 -56
100 40  -83 9
100 40  -52 -37
100 40  -18 -25
100 40  -76 -43
100 40  -118 -57
100 40  32 9
100 40  -45 -12
100 40  -73 15
100 40  7 -3
100 40  46 43
100 40  -83 -25
100 40  -15 -28
100 40  -23 -16
100 40  60 27
100 40  -55 25
100 40  -19 10
100 40  59 7
100 40  -19 2
100 40  -31 11
100 40  -44 18
100 40  -15 17
100 40  -19 3
100 40  -100 -41
100 40  -118 -11
100 40  -46 -22
100 40  71 48
100 40  24 18
100 40  72 39
100 40  7 15
100 40  -1 0
100 40  45 -3
100 40  -32 -27
100 40  -17 19
100 40  -90 -10
100 40  -15 -34
100 40  -116 -46
100 40  -122 -17
100 40  -102 -4
100 40  -36 -2
100 40  -37 -49
100 40  -111 -28
100 40  25 17
100 40  89 39
100 40  -29 12
100 40  82 39
100 40  -34 21
100 40  37 38
100 40  -115 -54
100 40  -37 -54
100 40  45 43
100 40  -133 -50
100 40  -122 -43
100 40  106 40
100 40  102 49
100 40  -78 -54
100 40  -115 -30
100 40  -78 -45
100 40  -112 0
100 40  -53 -58
100 40  -31 1
100 40  -26 -47
100 40  34 3
100 40  -82 18
100 40  -59 -49
100 40  -51 -24
100 40  0 37
100 40  71 20
100 40  -136 -30
100 40  -112 -16
100 40  -66 20
100 40  -8 1
100 40  -106 19
100 40  -98 -1
100 40  -95 11
100 40  -111 -25
100 40  -43 -9
100 40  -135 5
100 40  -6 17
100 40  -143 9
100 40  98 41
100 40  -10 -9
100 40  56 19
100 40  78 36
100 40  -82 -39
100 40  -4 19
100 40  72 18
100 40  14 15
100 40  -30 -17
100 40  -101 -41
100 40  103 35
100 40  -37 8
100 40  -3 -35
100 40  -48 -5
100 40  -68 6
100 40  -102 -32
100 40  -38 -14
100 40  18 34
100 40  111 53
100 40  -65 -42
100 40  -141 -19
100 40  -23 -16
100 40  -137 -51
100 40  20 -10
100 40  -105 12
100 40  -44 -47
100 40  -28 14
100 40  10 38
100 40  -57 -59
100 40  -67 -57
100 40  -50 -26
100 40  136 57
100 40  -76 -2
100 40  -136 15
100 40  -110 -41
100 40  -45 -57
100 40  -140 0
100 40  -70 -31
100 40  -5 24
100 40  -122 -20
100 40  -85 -51
100 40  -86 17
100 40  -17 15
100 40  -83 -29
100 40  -38 31
100 40  10 7

