# EXPLOD DATA FILE
150  # number of points
 50  # number of frames
-59  # gravity
  0  # wind
  1  # trail length
0 0  2 -39
0 0  -39 4
0 0  -2 -46
0 0  96 4
0 0  25 -23
0 0  3 -12
0 0  51 9
0 0  -23 -18
0 0  -17 -5
0 0  47 -11
0 0  -52 10
0 0  -12 49
0 0  13 -30
0 0  -1 -32
0 0  -5 -12
0 0  -29 -15
0 0  4 23
0 0  30 -13
0 0  55 -9
0 0  12 25
0 0  -50 -9
0 0  -21 -9
0 0  -75 -6
0 0  30 12
0 0  -52 -6
0 0  -5 -42
0 0  -5 35
0 0  -5 3
0 0  -11 24
0 0  10 28
0 0  15 16
0 0  13 -10
0 0  -39 -7
0 0  13 -2
0 0  21 -11
0 0  29 -18
0 0  10 -17
0 0  13 -3
0 0  -66 6
0 0  8 -40
0 0  -16 -18
0 0  -5 -15
0 0  -30 3
0 0  -76 2
0 0  21 27
0 0  11 -19
0 0  10 34
0 0  68 4
0 0  24 2
0 0  9 -42
0 0  -17 -17
0 0  19 -12
0 0  22 -21
0 0  1 -41
0 0  -1 45
0 0  20 -1
0 0  -79 2
0 0  -23 -3
0 0  -90 -2
0 0  5 -1
0 0  -60 -8
0 0  65 1
0 0  28 9
0 0  90 -5
0 0  4 -17
0 0  6 9
0 0  -69 -8
0 0  2 -19
0 0  7 44
0 0  -10 -15
0 0  -8 39
0 0  20 17
0 0  24 -8
0 0  2 35
0 0  32 5
0 0  45 -6
0 0  25 14
0 0  -12 -34
0 0  -51 -1
0 0  15 16
0 0  -13 10
0 0  18 -14
0 0  -7 -38
0 0  -75 -4
0 0  10 58
0 0  51 2
0 0  2 -46
0 0  5 44
0 0  -41 10
0 0  3 -24
0 0  11 -15
0 0  -7 -7
0 0  -1 -21
0 0  -51 -7
0 0  -16 18
0 0  -22 14
0 0  -16 31
0 0  10 27
0 0  -25 -4
0 0  -10 23
0 0  6 49
0 0  42 13
0 0  -11 -22
0 0  -6 -51
0 0  -1 6
0 0  86 6
0 0  73 4
0 0  -10 -21
0 0  75 2
0 0  -1 -34
0 0  62 2
0 0  3 45
0 0  21 -22
0 0  31 11
0 0  -16 18
0 0  75 -3
0 0  -7 -52
0 0  -27 12
0 0  7 21
0 0  -11 17
0 0  -25 20
0 0  2 33
0 0  -12 7
0 0  86 6
0 0  49 7
0 0  19 30
0 0  19 -22
0 0  -21 15
0 0  -25 -19
0 0  -71 4
0 0  52 -9
0 0  38 3
0 0  27 14
0 0  -26 -10
0 0  13 35
0 0  53 5
0 0  40 -3
0 0  8 45
0 0  58 8
0 0  -15 -29
0 0  52 2
0 0  -16 -4
0 0  18 20
0 0  -18 23
0 0  -19 29
0 0  31 -12
0 0  6 -3
0 0  11 -8
0 0  42 -13
0 0  16 -12
