# EXPLOD DATA FILE
250  # number of points
 50  # number of frames
  9  # gravity
  0  # wind
  2  # trail length
0 0  -90 -27
0 0  106 29
0 0  50 -38
0 0  7 -20
0 0  42 57
0 0  103 16
0 0  -45 -29
0 0  -34 -8
0 0  94 -19
0 0  27 -50
0 0  -2 -53
0 0  -10 -19
0 0  149 -15
0 0  -57 -24
0 0  8 39
0 0  -63 -55
0 0  -81 -40
0 0  60 -21
0 0  70 46
0 0  111 -14
0 0  69 61
0 0  25 43
0 0  -42 -14
0 0  61 20
0 0  97 -24
0 0  -9 5
0 0  -62 -72
0 0  111 42
0 0  20 48
0 0  31 27
0 0  -80 -44
0 0  73 -42
0 0  26 -17
0 0  -78 -12
0 0  26 -3
0 0  42 -17
0 0  58 -30
0 0  21 -29
0 0  26 -5
0 0  61 38
0 0  -95 -79
0 0  -31 -30
0 0  -95 -65
0 0  -9 -24
0 0  1 0
0 0  -60 5
0 0  42 46
0 0  22 -32
0 0  120 18
0 0  20 57
0 0  136 7
0 0  48 4
0 0  50 83
0 0  -33 -28
0 0  -119 -64
0 0  39 -20
0 0  -109 -64
0 0  45 -34
0 0  -49 -64
0 0  50 91
0 0  -60 -71
0 0  -141 -66
0 0  -136 -82
0 0  150 0
0 0  41 -1
0 0  35 79
0 0  -46 -5
0 0  110 -30
0 0  68 41
0 0  -95 -33
0 0  88 -33
0 0  11 -2
0 0  142 -31
0 0  131 1
0 0  127 -18
0 0  57 16
0 0  8 -29
0 0  -130 -69
0 0  13 15
0 0  -75 -32
0 0  -103 -60
0 0  5 -31
0 0  -96 -30
0 0  -19 -25
0 0  40 29
0 0  -138 -58
0 0  49 -14
0 0  4 58
0 0  64 9
0 0  91 -10
0 0  50 23
0 0  -24 -56
0 0  -147 -88
0 0  87 70
0 0  30 28
0 0  -26 17
0 0  140 -19
0 0  59 79
0 0  37 -23
0 0  -13 -63
0 0  67 43
0 0  -181 -95
0 0  102 4
0 0  181 -25
0 0  93 52
0 0  7 -40
0 0  115 -27
0 0  23 -24
0 0  111 49
0 0  51 -51
0 0  -13 -11
0 0  -1 -35
0 0  152 0
0 0  -124 -65
0 0  171 -29
0 0  74 70
0 0  -31 30
0 0  21 45
0 0  -50 -7
0 0  -19 38
0 0  85 21
0 0  -21 -36
0 0  52 79
0 0  81 31
0 0  -155 -68
0 0  -2 11
0 0  147 7
0 0  -19 -34
0 0  96 53
0 0  151 4
0 0  -96 -25
0 0  -1 -56
0 0  -193 -97
0 0  125 4
0 0  49 -42
0 0  43 -36
0 0  62 19
0 0  44 62
0 0  51 78
0 0  -32 30
0 0  -106 -35
0 0  -90 -50
0 0  151 -5
0 0  15 35
0 0  -21 28
0 0  4 56
0 0  -23 11
0 0  99 11
0 0  93 54
0 0  38 50
0 0  38 -36
0 0  152 -19
0 0  -49 -31
0 0  104 -14
0 0  77 6
0 0  55 24
0 0  -51 -16
0 0  -90 -48
0 0  -95 -30
0 0  27 59
0 0  107 8
0 0  191 -24
0 0  81 -5
0 0  117 14
0 0  -30 -48
0 0  104 3
0 0  16 0
0 0  -54 -42
0 0  -32 -6
0 0  37 34
0 0  -58 -70
0 0  63 -19
0 0  13 -4
0 0  39 86
0 0  22 -13
0 0  85 -22
0 0  33 -20
0 0  -172 -87
0 0  -13 34
0 0  83 14
0 0  33 23
0 0  80 -5
0 0  55 96
0 0  44 41
0 0  44 -1
0 0  -112 -36
0 0  -74 -12
0 0  68 -5
0 0  1 13
0 0  103 17
0 0  -158 -71
0 0  34 42
0 0  117 17
0 0  -53 9
0 0  155 -3
0 0  -49 -38
0 0  -20 -51
0 0  14 -8
0 0  -192 -98
0 0  -137 -68
0 0  -126 -48
0 0  150 12
0 0  -12 -13
0 0  -112 -46
0 0  -64 -66
0 0  52 70
0 0  105 8
0 0  24 22
0 0  -120 -78
0 0  35 4
0 0  150 7
0 0  -110 -74
0 0  -39 22
0 0  102 58
0 0  -132 -75
0 0  9 -20
0 0  92 -20
0 0  100 -24
0 0  -75 -54
0 0  -16 13
0 0  62 20
0 0  17 -2
0 0  31 31
0 0  -49 -62
0 0  58 -17
0 0  -160 -84
0 0  74 48
0 0  -41 -30
0 0  114 7
0 0  -38 -45
0 0  49 55
0 0  5 -44
0 0  38 -41
0 0  56 71
0 0  -86 -48
0 0  31 70
0 0  -35 22
0 0  33 -48
0 0  -102 -69
0 0  0 -34
0 0  -87 -36
0 0  103 -38
0 0  28 -10
0 0  49 -29
0 0  -17 -29
0 0  70 81
0 0  149 -16
0 0  -29 24
0 0  -3 -59
0 0  -36 -25
